excel_row_1_based,name,scholar_profile_id_excel,profile_url,local_match_count,local_profile_id,local_name,has_profile_json,has_chunks,all_local_profile_ids
5860,,nan,https://cancer.osu.edu/research-and-education/find-a-researcher/search-researcher-directory/rosa-lapalombella,0,,,False,False,
5862,,nan,https://engineering.osu.edu/people/quinzon-bonello.1,1,6c81a3db-82db-4155-966f-8b4cb4a242b5,Rosario Quinzon-Bonello,True,False,6c81a3db-82db-4155-966f-8b4cb4a242b5
5864,,nan,https://www.nationwidechildrens.org/find-a-doctor/profiles/roshini-s-abraham,1,d4b772fd-183e-489a-9e48-163aa8ea5f3a,Roshini Abraham,True,False,d4b772fd-183e-489a-9e48-163aa8ea5f3a
5866,,nan,na,0,,,False,False,
5867,,nan,na,0,,,False,False,
5872,,nan,https://wexnermedical.osu.edu/find-a-doctor/rozena-davis-aprn-cnp-86258,1,14c3272e-8c49-42f1-a5c8-cf06572a5c07,Rozena Davis,True,False,14c3272e-8c49-42f1-a5c8-cf06572a5c07
5874,,nan,https://wexnermedical.osu.edu/find-a-doctor/rudolf-bond-md-110759,1,a64c02f1-656e-4320-9f40-6045b37eadb2,Rudolf Bond,True,False,a64c02f1-656e-4320-9f40-6045b37eadb2
5875,,nan,na,0,,,False,False,
5877,,nan,https://engineering.osu.edu/people/qiu.580,1,6ca6a608-036e-4004-9117-a4c2d97b54ad,Rui Qiu,True,False,6ca6a608-036e-4004-9117-a4c2d97b54ad
5879,,nan,https://wexnermedical.osu.edu/departments/otolaryngology/team/research-staff/ruili-xie-phd,0,,,False,False,
5884,,nan,https://pathology.osu.edu/faculty/shen.html,1,5556a434-0862-454c-b122-6d81707e2ddd,Rulong Shen,True,False,5556a434-0862-454c-b122-6d81707e2ddd
5886,,nan,https://engineering.osu.edu/people/wang.10067,1,dc20b6d6-9c2d-4994-aada-1fd8c68509c3,Run Wang,True,False,dc20b6d6-9c2d-4994-aada-1fd8c68509c3
5889,,nan,https://wexnermedical.osu.edu/find-a-doctor/rupa-baro-md-91066,1,0f608e8b-b539-4b88-80b4-558f80e16606,Rupa Baro,True,False,0f608e8b-b539-4b88-80b4-558f80e16606
5893,,nan,https://cancer.osu.edu/find-a-doctor/search-physician-directory/russell-f-palm,0,,,False,False,
5894,,nan,https://glenn.osu.edu/russell-hassan,1,1caf005e-61a2-42e4-b2a3-46ad311df85e,Russell Hassan,True,False,1caf005e-61a2-42e4-b2a3-46ad311df85e
5896,,nan,https://wexnermedical.osu.edu/neurological-institute/researchers/russell-lonser-md,0,,,False,False,
5897,,nan,https://engineering.osu.edu/people/marzette.1,1,faf65c69-fb10-4e92-acf0-5780fb70d960,Russell Marzette,True,False,faf65c69-fb10-4e92-acf0-5780fb70d960
5898,,nan,https://wexnermedical.osu.edu/find-a-doctor/russell-woda-do-3060,1,88154be5-a229-46bd-b27d-bc506ffc5890,Russell Woda,True,False,88154be5-a229-46bd-b27d-bc506ffc5890
5899,,nan,https://vet.osu.edu/people/rustin-moore,1,58a698fd-a69d-4cc9-8d35-d32c0cbc71a8,Rustin Moore,True,False,58a698fd-a69d-4cc9-8d35-d32c0cbc71a8
5900,,nan,na,0,,,False,False,
5901,,nan,https://medicine.osu.edu/find-faculty/clinical/psychiatry-and-behavioral-health/ruth-m-barrientos-phd,0,,,False,False,
5902,,nan,https://wexnermedical.osu.edu/find-a-doctor/ruth-chan-do-52457,1,c3d18dda-25f9-4973-b0d6-38afd81f5c70,Ruth Chan,True,False,c3d18dda-25f9-4973-b0d6-38afd81f5c70
5908,,nan,https://vet.osu.edu/people/ryan-butler,1,373d9f06-39a5-4baa-9675-5f9862501ba3,Ryan Butler,True,False,373d9f06-39a5-4baa-9675-5f9862501ba3
5909,,nan,https://wexnermedical.osu.edu/find-a-doctor/ryan-dalton-md-17454,1,b2f5a48e-6bc5-4b8c-a9af-6bd663dc6672,Ryan Dalton,True,False,b2f5a48e-6bc5-4b8c-a9af-6bd663dc6672
5910,,nan,https://wexnermedical.osu.edu/find-a-doctor/ryan-donald-md-68693,1,b0d789bf-a394-4cb9-b61e-2189398f1877,Ryan Donald,True,False,b0d789bf-a394-4cb9-b61e-2189398f1877
5911,,nan,https://wexnermedical.osu.edu/find-a-doctor/ryan-fawley-md-134123,1,be971beb-b536-4153-8f3f-52f895094d27,Ryan Fawley,True,False,be971beb-b536-4153-8f3f-52f895094d27
5913,,nan,https://wexnermedical.osu.edu/find-a-doctor/ryan-harrison-md-36437,1,cbff1f33-1800-4175-abee-841587c0fe9c,Ryan Harrison,True,False,cbff1f33-1800-4175-abee-841587c0fe9c
5914,,nan,https://osu.my.workfront.com/issue/65bd43890022b0bf028dc0f3c2af2fea/overview,0,,,False,False,
5915,,nan,https://vet.osu.edu/people/ryan-jennings,1,21086400-f784-4694-9143-9eb178e392aa,Ryan Jennings,True,False,21086400-f784-4694-9143-9eb178e392aa
5917,,nan,https://glenn.osu.edu/ryan-knighton,1,50413dd9-940c-47b2-8f7c-c7cf8afcb61f,Ryan Knighton,True,False,50413dd9-940c-47b2-8f7c-c7cf8afcb61f
5923,,nan,na,0,,,False,False,
5924,,nan,https://wexnermedical.osu.edu/find-a-doctor/ryan-rauck-md-122267,1,2275c9fb-42c2-47d3-8efa-da6cb34b2f95,Ryan Rauck,True,False,2275c9fb-42c2-47d3-8efa-da6cb34b2f95
5926,,nan,https://wexnermedical.osu.edu/find-a-doctor/ryan-schmucker-md-97193,1,4566b5a5-d8f7-405e-8119-c51b88fa24fd,Ryan Schmucker,True,False,4566b5a5-d8f7-405e-8119-c51b88fa24fd
5927,,nan,https://engineering.osu.edu/people/siebenaller.10,1,bbca119a-8c6a-4d96-b935-7562d4886790,Ryan Siebenaller,True,False,bbca119a-8c6a-4d96-b935-7562d4886790
5933,,nan,na,0,,,False,False,
5938,,nan,https://medicine.osu.edu/find-faculty/clinical/surgery/sabrena-f-noria-md-phd,0,,,False,False,
5939,,nan,https://artsandsciences.osu.edu/people/dye.283,0,,,False,False,
5940,,nan,https://cancer.osu.edu/find-a-doctor/search-physician-directory/sachin-jhawar,0,,,False,False,
5941,,nan,https://cancer.osu.edu/find-a-doctor/search-physician-directory/sachin-s-kale,0,,,False,False,
5947,,nan,https://cancer.osu.edu/find-a-doctor/search-physician-directory/sagar-d-sardesai,0,,,False,False,
5948,,nan,https://engineering.osu.edu/people/herz.17,1,5c30428f-dd0e-4d50-b32a-4b3950f6d324,Sage Herz,True,False,5c30428f-dd0e-4d50-b32a-4b3950f6d324
5951,,nan,https://medicine.osu.edu/find-faculty/clinical/transplantation-surgery/sai-rithin-punjala-mbbs,0,,,False,False,
5952,,nan,https://wexnermedical.osu.edu/find-a-doctor/said-atway-dpm-26474,1,b96ed6ea-cd18-474a-90bd-83c5028d1047,Said Atway,True,False,b96ed6ea-cd18-474a-90bd-83c5028d1047
5953,,nan,https://engineering.osu.edu/people/zia.23,1,6ed0235a-14b5-443b-998a-7786b50d6dab,Saideh Zia,True,False,6ed0235a-14b5-443b-998a-7786b50d6dab
5955,,nan,https://wexnermedical.osu.edu/find-a-doctor/sakima-smith-md-36138,1,48fb3d68-54de-482b-9cd4-e16c721e6df4,Sakima Smith,True,False,48fb3d68-54de-482b-9cd4-e16c721e6df4
5956,,nan,https://engineering.osu.edu/people/khodadadi.3,1,c085dabb-e086-4f7f-9be4-d7d677f4fe3b,Sakineh Khodadadi,True,False,c085dabb-e086-4f7f-9be4-d7d677f4fe3b
5959,,nan,https://dentistry.osu.edu/faculty/salam-hetou-bds-ms-frcdc,1,a95b23a6-3b44-4cdc-8e23-79534bad03ff,Salam Hetou,True,False,a95b23a6-3b44-4cdc-8e23-79534bad03ff
5967,,nan,https://dentistry.osu.edu/faculty/salvatore-paul-lowry-dds,1,458366b7-c553-4a91-adda-b54a1cfd9e8d,Salvatore Paul Lowry,True,False,458366b7-c553-4a91-adda-b54a1cfd9e8d
5968,,nan,https://wexnermedical.osu.edu/find-a-doctor/salvatore-savona-md-49696,1,52edaa87-83bb-483d-9793-aa6c9f8149e4,Salvatore Savona,True,False,52edaa87-83bb-483d-9793-aa6c9f8149e4
5971,,nan,https://wexnermedical.osu.edu/find-a-doctor/sam-colachis-md-1127,1,17cff284-c37c-46f4-9858-c32578bd074d,Sam Colachis,True,False,17cff284-c37c-46f4-9858-c32578bd074d
5976,,nan,https://cancer.osu.edu/find-a-doctor/search-physician-directory/sam-l-penza,0,,,False,False,
5979,,nan,https://glenn.osu.edu/sam-rosselot,1,226cf28f-342b-475c-9a84-1f4039b7fba0,Sam Rosselot,True,False,226cf28f-342b-475c-9a84-1f4039b7fba0
