file,scholar,num_urls,unique_urls,distinct_domains,categories,accuracy,uniqueness,richness,quantity,overall
stephen-mangum-8364bc58.txt,Stephen Mangum,4,4,4,university:2|faculty_osu:1|other:1,10.0,8.8,4.2,6,7.5
steven-bibyk-9cb3269f.txt,Steven Bibyk,3,3,3,other:2|academic_profile:1,10.0,7.6,5.8,5,7.5
tianyang-wang-d198dd79.txt,Tianyang Wang,6,6,5,faculty_osu:2|academic_profile:2|other:2,6.7,10.0,7.2,7.0,7.5
tina-gossard-397c7f83.txt,Tina Gossard,3,3,3,other:2|academic_profile:1,10.0,7.6,5.8,5,7.5
yifan-shi-458b836e.txt,Yifan Shi,3,3,3,academic_profile:2|faculty_osu:1,10.0,7.6,5.8,5,7.5
yiming-claire-huang-c09b57fd.txt,Yiming Claire Huang,6,6,6,other:3|academic_profile:2|faculty_osu:1,6.7,10.0,7.2,7.0,7.5
zhiyao-zhang-c029cf05.txt,Zhiyao Zhang,5,5,3,faculty_osu:3|academic_profile:1|other:1,8.0,7.6,7.2,7.0,7.5
zhongteng-cai-7335fde3.txt,Zhongteng Cai,5,5,3,faculty_osu:3|publications:1|other:1,8.0,7.6,7.2,7.0,7.5
abeer-alshehri-6438eb21.txt,Abeer Alshehri,4,4,2,faculty_osu:3|academic_profile:1,10.0,6.4,5.8,6,7.4
alan-pritchard-5f21428d.txt,Alan Pritchard,4,4,4,academic_profile:2|faculty_osu:1|other:1,7.5,8.8,7.2,6,7.4
allison-rober-2288ed3c.txt,Allison Rober,4,4,4,academic_profile:2|faculty_osu:1|other:1,7.5,8.8,7.2,6,7.4
amin-meghrazi-9ed1b7c9.txt,Amin Meghrazi,4,4,4,other:2|faculty_osu:1|academic_profile:1,7.5,8.8,7.2,6,7.4
amir-osman-1eb7d653.txt,Amir Osman,4,4,4,academic_profile:2|faculty_osu:1|other:1,7.5,8.8,7.2,6,7.4
ann-mallory-42a97f29.txt,Ann Mallory,4,4,2,faculty_osu:3|academic_profile:1,10.0,6.4,5.8,6,7.4
atilla-eryilmaz-6f25d841.txt,Atilla Eryilmaz,5,5,4,faculty_osu:2|academic_profile:1|publications:1|other:1,6.0,8.8,8.6,7.0,7.4
austin-hendrickson-24037fea.txt,Austin Hendrickson,4,4,2,faculty_osu:3|academic_profile:1,10.0,6.4,5.8,6,7.4
ben-dimarco-d78d061f.txt,Ben Dimarco,5,5,4,other:3|faculty_osu:2,10.0,8.8,2.8,7.0,7.4
bobby-srivastava-6043c3a6.txt,Bobby Srivastava,6,6,4,other:5|faculty_osu:1,10.0,8.8,2.8,7.0,7.4
brian-izzo-5b03f35e.txt,Brian Izzo,4,4,2,faculty_osu:3|academic_profile:1,10.0,6.4,5.8,6,7.4
catherine-langston-24b4c5ae.txt,Catherine Langston,4,4,4,academic_profile:2|faculty_osu:1|other:1,7.5,8.8,7.2,6,7.4
chyongchiou-j-lin-681e1cf5.txt,Chyongchiou J Lin,4,4,4,academic_profile:2|faculty_osu:1|other:1,7.5,8.8,7.2,6,7.4
dale-masel-5e87ca16.txt,Dale Masel,4,4,4,other:2|faculty_osu:1|academic_profile:1,7.5,8.8,7.2,6,7.4
daria-bentley-bd94c905.txt,Daria Bentley,4,4,2,faculty_osu:3|gov:1,10.0,6.4,5.8,6,7.4
david-veech-3ad90fd3.txt,David Veech,4,4,4,other:2|faculty_osu:1|academic_profile:1,7.5,8.8,7.2,6,7.4
dayi-fan-a3b82cc9.txt,Dayi Fan,9,9,6,academic_profile:4|faculty_osu:2|other:2|publications:1,4.4,10.0,8.6,8.5,7.4
deepak-gulati-2c0ce902.txt,Deepak Gulati,4,4,4,other:2|faculty_osu:1|academic_profile:1,7.5,8.8,7.2,6,7.4
